id,"organ","sentence",frequency
15203,"кръвно налягане","RR15090 .",1
15204,"кръвно налягане","RR13575   .",1
15205,"кръвно налягане","RR13070  .",3
15206,"кръвно налягане","RR 12570  .",2
15207,"кръвно налягане","RR 14080  .",6
15208,"кръвно налягане","RR  14075 .",1
15209,"кръвно налягане","RR13075 .",2
15210,"кръвно налягане","RR12570 .",4
15211,"кръвно налягане","RR11070 .",1
15212,"кръвно налягане","RR11570 .",3
15213,"кръвно налягане","RR12070 .",2
15214,"кръвно налягане","RR13570  .",2
15215,"кръвно налягане","RR  12085 .",1
15216,"кръвно налягане","RR  130 80 .",1
15217,"кръвно налягане","RR 15580  .",1
15218,"кръвно налягане","RR 16080  .",1
15219,"кръвно налягане","RR 120 70  .",2
15220,"кръвно налягане","RR  11075  .",2
15221,"кръвно налягане","RR 150 90 .",2
15222,"кръвно налягане","RR  135-0 .",1
15223,"кръвно налягане","RR  13070  .",2
15224,"кръвно налягане","RR 13575  .",3
15225,"кръвно налягане","RR 14075   .",1
15226,"кръвно налягане","RR120   75 .",2
15227,"кръвно налягане","RR135   75 .",1
15228,"кръвно налягане","RR 14075  .",1
15229,"кръвно налягане","RR 14080   .",2
15230,"кръвно налягане","RR 14090   .",2
15231,"кръвно налягане","RR  14580 .",1
15232,"кръвно налягане","RR110   75 .",1
15233,"кръвно налягане","RR  12080 .",1
15234,"кръвно налягане","RR 12070  .",2
15235,"кръвно налягане","RR 12065  .",2
15236,"кръвно налягане","RR130  70  .",1
15237,"кръвно налягане","RR120   70 .",4
15238,"кръвно налягане","RR130  7 0 .",1
15239,"кръвно налягане","RR 14580   .",2
15240,"кръвно налягане","RR 13585   .",2
15241,"кръвно налягане","RR 14085  .",2
15242,"кръвно налягане","RR 14070  .",3
15243,"кръвно налягане","RR 15090  .",1
15244,"кръвно налягане","RR110  70  .",3
15245,"пулс","fr.65 ,",5
15246,"кръвно налягане","RR98  62  .",1
15247,"кръвно налягане","RR136  80  .",2
15248,"кръвно налягане","RR 136  78 .",1
15249,"кръвно налягане","RR13070 .",2
15250,"кръвно налягане","RR11060 .",2
15251,"кръвно налягане","RR13570 .",1
15252,"кръвно налягане","RR 12570   .",3
15253,"кръвно налягане","RR  13080 .",1
15254,"кръвно налягане","RR 115  85 .",2
15255,"кръвно налягане","RR 14585  .",2
15256,"кръвно налягане","RR 12575  .",1
15257,"кръвно налягане","RR13065 .",1
15258,"кръвно налягане","RR12565 .",1
15259,"кръвно налягане","RR 13080   .",2
15260,"кръвно налягане","RR12080   .",1
15261,"кръвно налягане","RR10065   .",1
15262,"кръвно налягане","RR  14580  .",1
15263,"кръвно налягане","RR 140 80  .",3
15264,"кръвно налягане","RR115  70  .",1
15265,"кръвно налягане","RR125   80 .",2
15266,"кръвно налягане","RR 125 85  .",2
15267,"кръвно налягане","RR 130  90 .",2
15268,"кръвно налягане","RR  14080  .",1
15269,"кръвно налягане","RR142   78 .",1
15270,"кръвно налягане","RR 130 85  .",2
15271,"кръвно налягане","RR  130 90 .",1
15272,"кръвно налягане","RR 132  80 .",1
15273,"кръвно налягане","RR  130100  .",2
15274,"кръвно налягане","RR135  80  .",1
15275,"кръвно налягане","RR160  90  .",1
15276,"кръвно налягане","RR  190100 .",1
15277,"кръвно налягане","RR142  80  .",1
15278,"кръвно налягане","RR128   80 .",1
15279,"кръвно налягане","RR132   79 .",1
15280,"кръвно налягане","RR136   78 .",1
15281,"кръвно налягане","RR123  80  .",1
15282,"кръвно налягане","RR132   80 .",2
15283,"кръвно налягане","RR135    .85",1
15284,"кръвно налягане","RR140  85  .",1
15285,"кръвно налягане","RR  13075  .",2
15286,"кръвно налягане","RR160   .100",1
15287,"кръвно налягане","RR 110 78  .",1
15288,"кръвно налягане","RR11570  .",1
15289,"кръвно налягане","RR11170  .",1
15290,"кръвно налягане","RR11070  .",1
15291,"кръвно налягане","RR95 80  .",2
15292,"кръвно налягане","RR  13580  .",3
15293,"кръвно налягане","RR 130  85 .",1
15294,"кръвно налягане","RR14080  .",6
15295,"кръвно налягане","RR13075  .",1
15296,"кръвно налягане","RR  13080  .",1
15297,"кръвно налягане","RR155  80  .",1
15298,"кръвно налягане","RR  200120 .",1
15299,"кръвно налягане","RR14075  .",2
15300,"кръвно налягане","RR14575  .",2
15301,"кръвно налягане","RR14585  .",1
15302,"кръвно налягане","RR 13075   .",1
15303,"кръвно налягане","RR13580  .",2
15304,"кръвно налягане","RR130   80 .",4
15305,"кръвно налягане","RR 14585   .",1
15306,"кръвно налягане","RR 160100  .",1
15307,"кръвно налягане","RR 13570   .",1
15308,"кръвно налягане","RR 13590   .",1
15309,"кръвно налягане","RR14090  .",2
15310,"кръвно налягане","RR 150 58  .",1
15311,"кръвно налягане","RR 150 60  .",1
15312,"кръвно налягане","RR13585  .",1
15313,"кръвно налягане","RR16095  .",1
15314,"кръвно налягане","RR 140 90  .",1
15315,"кръвно налягане","RR13060  .",1
15316,"кръвно налягане","RR 150 80  .",1
15317,"кръвно налягане","RR 120  80 .",2
15318,"кръвно налягане","RR  125 80 .",2
15319,"кръвно налягане","RR1 20  80 .",1
15320,"кръвно налягане","RR 160 100",1
15321,"пулс","fr.98 ,",2
15322,"кръвно налягане","RR140   .80",1
15323,"кръвно налягане","RR140100    .",1
15324,"пулс","fr.56 ,",2
15325,"пулс","fr.88 ,",2
15326,"кръвно налягане","RR  12085  .",3
15327,"пулс","fr.86 ,",2
15328,"кръвно налягане","RR140  /90  .",1
15329,"кръвно налягане","RR125  80  .",3
15330,"кръвно налягане","RR 11565  .",1
15331,"кръвно налягане","RR 11060  .",1
15332,"пулс","fr. 68,",3
15333,"кръвно налягане","RR 13085  .",2
15334,"кръвно налягане","RR125  85  .",8
15335,"кръвно налягане","RR  12585  .",7
15336,"пулс","fr.84 ,",1
15337,"кръвно налягане","RR 130 85 .",1
15338,"кръвно налягане","RR 150 100  .",1
15339,"кръвно налягане","RR160100  .",1
15340,"пулс","fr.92 ,",3
15341,"кръвно налягане","RR  150 на 100",1
15342,"кръвно налягане","RR 150   .90",1
15343,"кръвно налягане","RR130   85 .",2
15344,"пулс","fr.62 ,",2
15345,"кръвно налягане","RR 110 70  .",1
15346,"кръвно налягане","RR 135 85  .",1
15347,"пулс","fr.79 ,",2
15348,"кръвно налягане","RR 125 75  .",1
15349,"кръвно налягане","RR  120 70 .",1
15350,"кръвно налягане","RR  120 80 .",2
15351,"пулс","fr. 88,",1
15352,"кръвно налягане","RR 165  95 .",1
15353,"кръвно налягане","RR135   80 .",1
15354,"кръвно налягане","RR 125  70 .",1
15355,"кръвно налягане","RR130  85  .",1
15356,"кръвно налягане","RR125   75 .",1
15357,"пулс","fr. 77,",1
15358,"кръвно налягане","RR14085",1
15359,"кръвно налягане","RR120  70  .Липсва СМРД.",2
15360,"кръвно налягане","RR120  60",1
15361,"пулс","fr.74,",3
15362,"пулс","fr.89 ,",1
15363,"кръвно налягане","RR125   85 .",2
15364,"кръвно налягане","RR  140\\90  .",1
15365,"кръвно налягане","RR 100  60 .",1
15366,"кръвно налягане","RR  12080  .",2
15367,"кръвно налягане","RR14585    .",1
15368,"пулс","fr.706 ,",1
15369,"кръвно налягане","RR90   70 .",1
15370,"кръвно налягане","RR 134 80  .",1
15371,"кръвно налягане","RR 180   .100",1
15372,"кръвно налягане","RR130\\80    .",1
15373,"кръвно налягане","RR12070",3
15374,"кръвно налягане","RR  200 100 .",1
15375,"кръвно налягане","RR 140\\80   .",2
15376,"пулс","fr. 66,",1
15377,"пулс","fr.68удмин ,",5
15378,"кръвно налягане","RR12070  .",2
15379,"пулс","fr.72умин.",1
15380,"кръвно налягане","RR 12075  .",1
15381,"кръвно налягане","RR 140100 .",1
15382,"пулс","fr.85,",4
15383,"кръвно налягане","RR14070  .",1
15384,"пулс","fr.75,",5
15385,"кръвно налягане","RR 12580  .",1
15386,"кръвно налягане","RR  13575  .",1
15387,"кръвно налягане","RR  12060 .",1
15388,"кръвно налягане","RR  12065 .",1
15389,"кръвно налягане","RR120  75  .",1
15390,"кръвно налягане","RR  16085  .",1
15391,"кръвно налягане","RR 15085  .",1
15392,"кръвно налягане","RR  140100",1
15393,"сърце","ясни сърдечни тонове  .",1
15394,"кръвно налягане","RR140  80  .",1
15395,"пулс","fr.72 , акцентуиран 2-ри тон",1
15396,"кръвно налягане","RR 140  80 .",1
15397,"кръвно налягане","RR 13580   .",3
15398,"кръвно налягане","RR 130\\80   .",1
15399,"пулс","fr.68",1
15400,"пулс","fr.66",1
15401,"тегло","Тегло -62 кг ,",1
15402,"ръст","ръст -160 см ,",1
15403,"пулс","fr.73 ,акцентуиран2-ри тон",1
15404,"кръвно налягане","RR 120 80 .",1
15405,"пулс","fr.74 акцентуиран 2-ри тон",1
15406,"пулс","fr. 73,акцентуиран2-ри тон",1
15407,"кръвно налягане","RR 14580  .",1
15408,"пулс","fr. 74, акцентуиран 2-ри тон",1
15409,"кръвно налягане","RR  13585  .",1
15410,"пулс","fr. 74, акцентуиран 2ри тон",1
15411,"крайници","крайници - б.ез отоци",1
15412,"кръвно налягане","RR120   85 .",1
15413,"кръвно налягане","RR 14085 .",1
15414,"кръвно налягане","RR 14585 .",1
15415,"кръвно налягане","RR 14580 .",1
15416,"кръвно налягане","RR 15080 .",1
15417,"кръвно налягане","RR 115 70  .",1
15418,"кръвно налягане","RR142  78  .",1
15419,"кръвно налягане","RR  13080",1
15420,"пулс","fr.75 - от пейсмейкър ,",9
15421,"кръвно налягане","RR9060 .",1
15422,"кръвно налягане","RR10055 .",1
15423,"крайници","крайници -   без отоци",1
15424,"кръвно налягане","RR12065 .",1
15425,"кръвно налягане","RR11065 .",1
15426,"кръвно налягане","RR  10560 .",1
15427,"пулс","fr.72мин  ,",3
15428,"пулс","fr.74мин ,",1
15429,"кръвно налягане","AH-130/80",3
15430,"сърце","Cor - РСД.",1
15431,"кръвно налягане","RR -135/80",2
15432,"кръвно налягане","RR -150/90",1
15433,"сърце","Cor - РСД  130/80",1
15434,"сърце","Cor - РСД  130/85",1
15435,"сърце","Cor - РСД ясни тонове",11
15436,"кръвно налягане","RR - 115/80",1
15437,"сърце","Cor - рсд, ясни тонове .",1
15438,"сърце","Cor - РСД, ясни тонове,",1
15439,"кръвно налягане","AH 120/70,",1
15440,"сърце","Cor - РСД, тонове ясни без Ех",4
15441,"сърце","Cor - РСД, ясни тонове    70  /мин",2
15442,"кръвно налягане","R.R.  135/60",2
15443,"сърце","Cor - РСД, ясни тонове   84  /мин",2
15444,"сърце","Cor -",27
15445,"сърце","Cor - РСД,",4
15446,"сърце","Cor - РСД ,",2
15447,"пулс","Fr 68min,",2
15448,"сърце","Cor - РСД, ясни тонове, систоличен шум.",8
15449,"пулс","Fr 78 /мин.",2
15450,"пулс","Fr 69 /мин.",2
15451,"сърце","Cor - РСД, ясни тонове, лек систоличен шум.",2
15452,"сърце","Cor - РСД, тонове ясни,",24
15453,"кръвно налягане","RR -128/70",2
15454,"пулс","Fr - 76",8
15455,"кръвно налягане","RR -125/75",2
15456,"кръвно налягане","RR -130/80",5
15457,"пулс","Fr - 70",2
15458,"пулс","Fr - 68",2
15459,"кръвно налягане","RR -95/60",2
15460,"пулс","Fr - 80",4
15461,"кръвно налягане","RR -110/80",2
15462,"пулс","Fr - 62",2
15463,"кръвно налягане","RR -100/60",2
15464,"кръвно налягане","RR -110/70",4
15465,"пулс","Fr - 90",2
15466,"пулс","Fr - 65",3
15467,"сърце","Cor - РСД, тонове ясни,АА2",5
15468,"кръвно налягане","RR -125/80",1
15469,"пулс","Fr - 72",5
15470,"кръвно налягане","RR -145/90",1
15471,"кръвно налягане","RR -120/75",1
15472,"кръвно налягане","RR -115/80",1
15473,"пулс","Fr - 78",2
15474,"кръвно налягане","R.R.120/85",2
15475,"сърце","Cor - .  Р.С.Д.",1
15476,"сърце","Cor - Ясни сърдечни тонове",5
15477,"сърце","Cor - Р.С.Д. - нормофервенктна",11
15478,"кръвно налягане","R.R145/80",1
15479,"кръвно налягане","R.R150/85",1
15480,"кръвно налягане","R.R155/85",1
15481,"кръвно налягане","R.R160/85",1
15482,"кръвно налягане","R.R125/80",2
15483,"кръвно налягане","R.R135/85",1
15484,"кръвно налягане","R.R145/85",1
15485,"кръвно налягане","R.R135/80",1
15486,"кръвно налягане","R.R150/80",1
15487,"кръвно налягане","R.R.",1
15488,"сърце","Cor - Р.С.Д.  Насочва се за лъчелечение",1
15489,"бял дроб","Pulmo - Чисто вез. дишане  без прибавени хрипове",2
15490,"сърце","Cor - правилнаР",1
15491,"сърце","Cor - Р.С.Д.ед.  Е.Х.",1
15492,"сърце","Cor - Р.С.Д.  Р.С.Д.  Ясни сърдечни тонове",1
15493,"сърце","Cor -А. Р.С.Д.",1
15494,"пулс","Fr-100/м,.",1
15495,"кръвно налягане","R.R.  120/80",8
15496,"опорно-двигателен апарат","ОДА - огр. движения,тремор",1
15497,"пулс","Fr /мин.",1
15498,"пулс","Fr-70/м",3
15499,"пулс","Fr-60/м",1
15500,"сърце","Cor - А.С.Д.",4
15501,"кръвно налягане","R.R. 130/90",3
15502,"сърце","Cor - Р.С.Д.  Глухи сърдечни тонове",3
15503,"кръвно налягане","R.R.150/90",3
15504,"пулс","Fr74",1
15505,"кръвно налягане","R.R.135/75",1
15506,"кръвно налягане","R.R. 130/85",2
15507,"кръвно налягане","R.R.125/80",3
15508,"кръвно налягане","R.R.155/90",1
15509,"опорно-двигателен апарат","ОДА-световъртеж",1
15510,"кръвно налягане","R.R. 280/170",1
15511,"кръвно налягане","R.R.170/100",1
15512,"сърце","Cor - А.Р.С.Д.",4
15513,"кръвно налягане","R.R115/80",1
15514,"кръвно налягане","R.R130/80",2
15515,"кръвно налягане","R.R150/90",2
15516,"кръвно налягане","R.R.  150/90",1
15517,"бял дроб","Pulmo - Чисто вез. дишане -с влажни хрипове преведени шумове от трахеята,",1
15518,"кръвно налягане","RR 130\\80",5
15519,"кръвно налягане","R.R.115/75",1
15520,"бял дроб","Pulmo - Чисто вез. дишане  без хрипове",3
15521,"сърце","Cor - Р.С.Д. Единични на рядко Надкамерни екстрасистол",3
15522,"кръвно налягане","R.R120/80",1
15523,"кръвно налягане","R.R.165/90 Акцентуиран А2",1
15524,"опорно-двигателен апарат","ОДА - тремор на двете  ръцете",3
15525,"кръвно налягане","R.R.110/80",1
15526,"бял дроб","Pulmo - Чисто вез. дишане .",4
15527,"сърце","Cor - Р.С.Д. ед.ек.систолий, Систолен шум на МИ",4
15528,"кръвно налягане","R.R.130/60,",1
15529,"пулс","Fr-80/м.",4
15530,"кръвно налягане","R.R.140/80,",1
15531,"кръвно налягане","R.R.120/70,",2
15532,"кръвно налягане","R.R.140/70,",2
15533,"кръвно налягане","R.R.140/90 Акцентуиран А2",1
15534,"опорно-двигателен апарат","ОДА - леки отоци.",1
15535,"кръвно налягане","R.R.1210/80",2
15536,"сърце","Cor - Р.С.Д чисти ясни тонове",9
15537,"кръвно налягане","RR122/81",1
15538,"кръвно налягане","RR127/82",1
15539,"опорно-двигателен апарат","ОДА -   Невр ст -",1
15540,"бъбрек","S.R. - двустранно--б.о.",1
15541,"опорно-двигателен апарат","ОДА--б.о.",1
15542,"сърце","Cor - А.С.Д.  Акцентуиран А2",2
15543,"опорно-двигателен апарат","ОДА -Данни за остеопороза",2
15544,"кръвно налягане","R.R.125/75",2
15545,"кръвно налягане","RR 120\\80",4
15546,"пулс","Fr 78/мин.",1
15547,"кръвно налягане","R.R.130/90..",1
15548,"бял дроб","Pulmo - Чисто вез. дишане  без застой",4
15549,"опорно-двигателен апарат","ОДА- без дани за отоци  по подбедриците",1
15550,"кръвно налягане","R.R.140/80",3
15551,"сърце","Cor - Р.С.Д.  --ускорена сърдечна дейност .",1
15552,"кръвно налягане","R.R. 125/70",1
15553,"пулс","Fr  68",3
15554,"бъбрек","S.R.пол в ляво",1
15555,"кръвно налягане","R.R.110/75",1
15556,"сърце","Cor -РСД.",1
15557,"кръвно налягане","R.R150/95",1
15558,"пулс","Fr",3
15559,"кръвно налягане","R.R130/73",1
15560,"кръвно налягане","R.R131/76",1
15561,"кръвно налягане","R.R131/73",1
15562,"кръвно налягане","R.R132/83",1
15563,"кръвно налягане","R.R132 /73",1
15564,"кръвно налягане","R.R.125/85",2
15565,"пулс","Fr  70",2
15566,"бъбрек","S.R. - двустранно  /-/отр",3
15567,"пулс","Fr  80",1
15568,"пулс","Fr  72",2
15569,"опорно-двигателен апарат","ОДА - вкопан нокът.",1
15570,"кръвно налягане","R.R.  130/70",4
15571,"пулс","Fr 80уд/мин.",1
15572,"кръвно налягане","R.R115/75",1
15573,"пулс","Fr - 60/мин.",3
15574,"кръвно налягане","R.R. 120/85",1
15575,"бъбрек","S.R. + Л  Десен б. - нефректомия.",4
15576,"кръвно налягане","R.R. 160/90",1
15577,"пулс","Fr - 68/мин.",1
15578,"бял дроб","Pulmo - Чисто вез. дишанебез застой",7
15579,"опорно-двигателен апарат","ОДА- без отоци по подбедриците",10
15580,"кръвно налягане","Cor - an  105/70",1
15581,"кръвно налягане","Cor - an  115/70",1
15582,"кръвно налягане","Cor - an  115070",1
15583,"кръвно налягане","Cor - an  110\\70",1
15584,"бъбрек","SR/-/отр",2
15585,"кръвно налягане","RR.140/70",1
15586,"кръвно налягане","RR.130/70",1
15587,"опорно-двигателен апарат","ОДА - без  отоци по подбедриците",2
15588,"опорно-двигателен апарат","ОДА - варици,рана на десен крак",1
15589,"кръвно налягане","R.R.  130/75",1
15590,"сърце","Cor - Р.С.Д.  Ясни сърдечни тонове ,",2
15591,"кръвно налягане","R.R. 170/110мм",1
15592,"опорно-двигателен апарат","ОДА - отоци по подбедриците  .",2
15593,"кръвно налягане","R.R. 180/100мм",1
15594,"сърце","Cor - Р.С.Д.  Акцентуиран А2",1
15595,"опорно-двигателен апарат","ОДА -  Рани по краката",1
15596,"сърце","Cor -.  Р.С.Д.",1
15597,"опорно-двигателен апарат","ОДА- без периф застой",5
15598,"сърце","Cor - Р.С.Д.  Ясни сърдечни тонов",1
15599,"кръвно налягане","R.R.128/82",1
15600,"кръвно налягане","R.R.127/82",1
15601,"кръвно налягане","R.R.121/82",1
15602,"вена","Варикозни изменения на левият крак.Подбедрицата е ливидна оточна и с дебели крусти",1
15603,"вена","Варикозни промени по долните крайници с трофични промени по кожата.",1
15604,"вена","Варикозни промени по долните",1
15605,"млечна жлеза","Мл.жлези-ампутирана лява гърда",1
15606,"бял дроб","Pulmo-  грубо вез. дишане .",1
15607,"щитовидна жлеза","Щитовидна жлеза: неуголемена .",1
15608,"щитовидна жлеза","Щитовидна жлеза/б. О.",2
15609,"щитовидна жлеза","Щитовидна жлеза-в норма,",1
15610,"лимфни възли","ПЛВ-не  се  палпират",1
15611,"око","VOD-1.0 VOS-1.0-след корекция с очила",1
15612,"щитовидна жлеза","Щитовидна жлеза увел. от 1 ст.",1
15613,"щитовидна жлеза","Щитовидна жлеза в нормална големина .",1
15614,"щитовидна жлеза","ЩИТОВИДНА ЖЛЕЗА- нормални размери и консистенция,",1
15615,"щитовидна жлеза","Щитовидна жлеза бо.",1
15616,"щитовидна жлеза","Щитовидна жлеза б. О.",1
15617,"щитовидна жлеза","Щитовидна жлеза- неувеличена. .",1
15618,"крайници","Долни крайници - топли, запазен тактилен и вибрационен усет, запазени пулсации на а.дорзалис педис",1
15619,"кръвно налягане","R.R.130 /80",1
15620,"кръвно налягане","R.R.105/70",1
15621,"пулс","Fr-68/мин.",1
15622,"кръвно налягане","R.R.140/83мм",1
15623,"пулс","Fr - 68уд./ мин .",1
15624,"кръвно налягане","R.R.100/65",1
15625,"кръвно налягане","AН 110 / 75",1
15626,"кръвно налягане","AН 110 / 70",1
15627,"корем","Корем- мек, палпаторно неболезнен,без органомегалия.",2
15628,"кръвно налягане","AН 110 / 80",1
15629,"корем","Корем- мек,палпаяторно неболезнен,",1
15630,"кръвно налягане","AН 130/ 80 .",1
15631,"пулс","fr72min.",2
15632,"пулс","fr76min.",1
15633,"пулс","Fr- 70",2
15634,"пулс","fr74min.",3
15635,"пулс","СЧ=76мин",1
15636,"кръвно налягане","АН=150/80",1
15637,"крайници","Крайници леки отоци",1
15638,"кръвно налягане","АН=130/80",1
15639,"кръвно налягане","АН=130/75",1
15640,"кръвно налягане","АН=130/70",1
15641,"кръвно налягане","АН=110/70",1
15642,"кръвно налягане","АН=130/90 мм",1
15643,"кръвно налягане","АН=130/80 мм.",1
15644,"лимфни възли","ПЛВ-неувеличени .",1
15645,"сърце","Cor - ритмична сърдечна дейност,",35
15646,"пулс","FR. 75  ,",1
15647,"сърце","Кор-аритмична сърдечна дейност,",3
15648,"сърце","Кор-аритмична сърдечна дейност,акц.А 2 тон,",2
15649,"сърце","Кор-аритмична сърдечна дейност ,",7
15650,"сърце","Кор-аритмична сърдечна дейност,по типа на абс. аритмия,",3
15651,"крайници","Долни крайници-без отоци,запазени пулсации на периферните артирии",1
15652,"сърце","Кор-аритмична сърдечна дейност,по типа на абс. аритмия, ф-98 уд/мин.",1
15653,"сърце","Кор-аритмична сърдечна дейност,глухи тонове,слаб систолен шум на върха и Ерб.",3
15654,"пулс","fr-86уд.в мин.",2
15655,"пулс","fr-106уд.в мин.",1
15656,"сърце","Кор-аритмична сърдечна дейност, по типа на екстрасистолна аритмия,",1
15657,"сърце","Кор-аритмична сърдечна дейност,по типа на екстрасистолна аритмия-Ка, нормофреквентна,",3
15658,"око","Очен ст.-отр. с-ми.",2
15659,"око","Очен и ушен статус- б.о.",1
15660,"око","Очен - глаукома,",1
15661,"око","Очен статус виз ок. син, дек. - 1.0",1
15662,"ухо","Слух нормален..",1
15663,"око","Очен статус - ВО утр. + 1.0",1
15664,"око","Очен ст-Vis.-намален двустранно(с корекция-.",1
15665,"опорно-двигателен апарат","ОДА-Палп. болка параверт",1
15666,"око","Очен анализатор - ретинопатия хипертоника .",1
15667,"око","Очен статус -бед патологични отклонения",1
15668,"око","Очен статус- конюнктивална инекция",1
15669,"око","Очен ст-зрение нарушено,замълено",1
15670,"температура","Температура-36.6 С",1
15671,"температура","Температура..",1
15672,"температура","Температура 37.8С.",1
15673,"температура","Температура-38С.",1
15674,"температура","Температура 38.3",1
15675,"температура","Температура -38*С-",1
15676,"температура","Температура-няма   .",1
15677,"температура","Температура-    38     гр.",1
15678,"температура","Температура 38.1",1
15679,"температура","Температура 38.6",1
15680,"температура","Температура 39.3",1
15681,"температура","Температура-  37,0 град.",1
15682,"температура","Температура-37,8",1
15683,"температура","Температура 37.8",1
15684,"температура","Температура 37.2 гр.С.",1
15685,"температура","Температура- 36.6 с",1
15686,"лигавица","Лигавици-  розови",1
15687,"температура","Температура 38,5",2
15688,"температура","Температура,",1
15689,"температура","Температура - °С,",1
15690,"бял дроб","Бял дроб- везикуларно дишане двустранно с единични свиркащи хрипове дифузно.",1
15691,"температура","Температура- 37,8,",1
15692,"крайници","крайници-б,о,.",1
15693,"температура","T-38",2
15694,"температура","T- 38",1
15695,"температура","t-39.2",1
15696,"температура","t-38,",2
15697,"температура","t-36,8",1
15698,"температура","Т-36,9",2
15699,"тегло","Т-65кг,",1
15700,"тегло","Т-74кг.",1
15701,"тегло","Т-78 кг.",1
15702,"тегло","Т-90 кг.",1
15703,"тегло","Т-87 кг.",1
15704,"тегло","Т- 87кг.",1
15705,"тегло","Т-60 кг.",1
15706,"тегло","Т-59 кг.",2
15707,"тегло","Т-75 кг.",1
15708,"тегло","Т-66 КГ",1
15709,"тегло","Т- 65КГ",1
15710,"тегло","Т-85КГ",3
15711,"тегло","Т-83кг",2
15712,"тегло","Т-166",1
15713,"тегло","Т-79кг",1
15714,"тегло","Т- 90 кг",1
15715,"тегло","Т- 74кг",1
15716,"тегло","Т-75 кг",1
15717,"тегло","Т-100кг",1
15718,"тегло","Т-92 кг",1
15719,"тегло","Т-92 кг.",1
15720,"тегло","Т-57кг",2
15721,"тегло","Т-72кг",1
15722,"тегло","Т-66кг",2
15723,"тегло","Т-96кг",1
15724,"тегло","Т-98кг",1
15725,"тегло","Т-77кг",3
15726,"тегло","Т-70кг",2
15727,"тегло","Т-92кг",1
15728,"тегло","Т- 83кг.",1
15729,"тегло","Т-108кг",1
15730,"тегло","Т-64кг",1
15731,"тегло","Т-65кг",3
15732,"тегло","Т-65 кг",1
15733,"тегло","Т-106кг",1
15734,"тегло","Т-78 кг",1
15735,"тегло","Т-73 кг",1
15736,"тегло","Т-105 кг.",2
15737,"тегло","Т-  100 кг,",1
15738,"тегло","Т-30 кг",1
15739,"тегло","Т- 69",1
15740,"тегло","Т-83/-1кг./",1
15741,"температура","Т-37.5",1
15742,"температура","Т-37,5  ,",1
15743,"температура","Т-378,",1
15744,"тегло","Т-66кг.",1
15745,"тегло","Т- 75кг",2
15746,"нервна система","НС- ясно съзнание",2
15747,"температура","Т-38,2",1
15748,"температура","Т-38,4,",1
15749,"тегло","Т-100",1
15750,"бял дроб","Везикуларно дишане двустранно , без прибавени хрипове",1
15751,"тегло","Т-80",1
15752,"тегло","Т-62кг",1
15753,"тегло","Т- 80кг",1
15754,"температура","Т-  37.5",1
15755,"тегло","Т-89кг.",1
15756,"тегло","Т-109кг.",1
15757,"тегло","Т-86кг",1
15758,"температура","Т-37,7С",1
15759,"тегло","Т-77 кг.",1
15760,"тегло","Т- 82 кг",1
15761,"температура","Т-37 С.",1
15762,"температура","Т-38,3С",1
15763,"температура","Т-37.6 С.",1
15764,"тегло","Т-103,",1
15765,"температура","Т-36,2 С,",1
15766,"температура","Т- 37.8",1
15767,"тегло","Т-60кг",2
15768,"тегло","Т-100кг.",1
15769,"тегло","Т- 56",1
15770,"температура","Т-36.8 С.",1
15771,"температура","Т-36.8",1
15772,"температура","Т- 30 кг.",1
15773,"нервна система","Нервно-психическо и физическо развитие-съответстващо за възрастта.",1
15774,"температура","Т-38 С.",1
15775,"температура","Т-38 ..гр. /",1
15776,"бял дроб","Pulmo-грубо везикуларно дишане със сухи свиркащи хрипове двустранно",1
15777,"тегло","Т-84 кг.",1
15778,"кръвно налягане","RR143/84",1
15779,"тегло","Т-90",1
15780,"температура","Т-37,3 С.",1
15781,"температура","Т- 38.4",1
15782,"пулс","Fr 74/мин ,",1
15783,"тегло","Тегло 99",1
15784,"тегло","Тегло-кг.",1
15785,"ръст","Ръст-см",1
15786,"тегло","Тегло - 86кг .",1
15787,"тегло","Тегло -76,",1
15788,"ръст","Ръст -157,",1
15789,"тегло","тегло-68",1
15790,"ръст","Ръст -162",2
15791,"тегло","Тегло - 66",1
15792,"ръст","Ръст -170",2
15793,"тегло","Тегло - 70",1
15794,"ръст","Ръст -173",1
15795,"тегло","Тегло - 81",1
15796,"тегло","Тегло - 62",1
15797,"тегло","Тегло - 75",1
15798,"тегло","Тегло - 63",1
15799,"ръст","ръст-173",1
15800,"тегло","тегло- 76",1
15801,"ръст","Ръст - 178",1
15802,"тегло","Тегло - 102",1
15803,"тегло","Тегло - 60.000",1
15804,"тегло","Тегло -55 .400",1
15805,"ръст","Ръст - 172",1
15806,"тегло","Тегло - 90.000",1
15807,"ръст","Ръст:     158",1
15808,"тегло","Тегло:   68",1
15809,"ръст","Ръст- 160,",1
15810,"тегло","тегло 76",1
15811,"ръст","Ръст-160:",1
15812,"тегло","Тегло-58кг:",1
15813,"ръст","Ръст-165см.",2
15814,"ръст","Ръст-170см.",3
15815,"тегло","Тегло-105кг.",1
15816,"ръст","Ръст-177см:",1
15817,"тегло","Тегло-49кг:",1
15818,"ръст","Ръст-174см.",1
15819,"тегло","Тегло-68кг.",1
15820,"ръст","Ръст-167см.",1
15821,"тегло","Тегло-64кг.",1
15822,"ръст","Ръст-166см:",1
15823,"тегло","Тегло-69кг:",1
15824,"тегло","Тегло-60кг.",1
15825,"ръст","Ръст-160см.",2
